X,Y,B
1.5,-1,0.6
1.5,-0.5,3.5
1.5,0,7.7
1.5,0.5,13.8
1.5,1,17.1
1.5,1.5,16.9
1.5,2,15.2
1.5,2.5,15.5
1.5,3,17.1
1.5,3.5,18.3
1.5,4,17
1.5,4.5,15.7
1.5,5,17
1.5,5.5,19
1.5,6,18.9
1.5,6.5,13.9
1.5,7,8.2
1.5,7.5,3.9
1.5,8,1.8
1,-1,0.6
1,-0.5,3.6
1,0,8.5
1,0.5,14.2
1,1,17.7
1,1.5,17.6
1,2,16
1,2.5,17
1,3,18.8
1,3.5,19.6
1,4,18.1
1,4.5,16.5
1,5,17.3
1,5.5,19
1,6,18.1
1,6.5,12.4
1,7,7.4
1,7.5,3.7
1,8,1
2,-1,0.2
2,-0.5,1.8
2,0,4.8
2,0.5,8.8
2,1,11.1
2,1.5,10.8
2,2,9.6
2,2.5,9.5
2,3,10.3
2,3.5,10.6
2,4,10
2,4.5,9.4
2,5,10
2,5.5,11.2
2,6,11
2,6.5,8.5
2,7,4.5
2,7.5,2.1
2,8,0.6
0.5,-1,0.8
0.5,-0.5,3.4
0.5,0,8.1
0.5,0.5,13.3
0.5,1,15.8
0.5,1.5,15.5
0.5,2,14.1
0.5,2.5,15
0.5,3,17
0.5,3.5,17.5
0.5,4,15.9
0.5,4.5,14.5
0.5,5,15.6
0.5,5.5,16.8
0.5,6,16
0.5,6.5,11.2
0.5,7,5.9
0.5,7.5,2.6
0.5,8,0.7
