X,B,Y
1.5,0.6,-1
1.5,3.5,-0.5
1.5,7.7,0
1.5,13.8,0.5
1.5,17.1,1
1.5,16.9,1.5
1.5,15.2,2
1.5,15.5,2.5
1.5,17.1,3
1.5,18.3,3.5
1.5,17,4
1.5,15.7,4.5
1.5,17,5
1.5,19,5.5
1.5,18.9,6
1.5,13.9,6.5
1.5,8.2,7
1.5,3.9,7.5
1.5,1.8,8
1.5,0.1,8.5
1,0.6,-1
1,3.6,-0.5
1,8.5,0
1,14.2,0.5
1,17.7,1
1,17.6,1.5
1,16,2
1,17,2.5
1,18.8,3
1,19.6,3.5
1,18.1,4
1,16.5,4.5
1,17.3,5
1,19,5.5
1,18.1,6
1,12.4,6.5
1,7.4,7
1,3.7,7.5
1,1,8
2,0.2,-1
2,1.8,-0.5
2,4.8,0
2,8.8,0.5
2,11.1,1
2,10.8,1.5
2,9.6,2
2,9.5,2.5
2,10.3,3
2,10.6,3.5
2,10,4
2,9.4,4.5
2,10,5
2,11.2,5.5
2,11,6
2,8.5,6.5
2,4.5,7
2,2.1,7.5
2,0.6,8
0.5,0.8,-1
0.5,3.4,-0.5
0.5,8.1,0
0.5,13.3,0.5
0.5,15.8,1
0.5,15.5,1.5
0.5,14.1,2
0.5,15,2.5
0.5,17,3
0.5,17.5,3.5
0.5,15.9,4
0.5,14.5,4.5
0.5,15.6,5
0.5,16.8,5.5
0.5,16,6
0.5,11.2,6.5
0.5,5.9,7
0.5,2.6,7.5
0.5,0.7,8
