t,x,y,v,a
8.235,3.126E-3,-1.342E-2,,
8.238,3.126E-3,-1.306E-2,6.068E-2,
8.241,3.126E-3,-1.306E-2,0.000,11.44
8.245,3.126E-3,-1.306E-2,0.000,0.000
8.248,3.126E-3,-1.306E-2,0.000,0.000
8.251,3.126E-3,-1.306E-2,0.000,0.000
8.254,3.126E-3,-1.306E-2,0.000,0.000
8.258,3.126E-3,-1.306E-2,0.000,0.000
8.261,3.126E-3,-1.306E-2,0.000,0.000
8.264,3.126E-3,-1.306E-2,0.000,0.000
8.267,3.126E-3,-1.306E-2,0.000,0.000
8.270,3.126E-3,-1.306E-2,0.000,0.000
8.274,3.126E-3,-1.306E-2,0.000,0.000
8.277,3.126E-3,-1.306E-2,0.000,0.000
8.280,3.126E-3,-1.306E-2,0.000,0.000
8.283,3.126E-3,-1.306E-2,0.000,8.529
8.287,3.126E-3,-1.306E-2,4.523E-2,6.876
8.290,2.881E-3,-1.293E-2,5.721E-2,3.814
8.293,2.881E-3,-1.281E-2,2.023E-2,9.535
8.296,2.881E-3,-1.281E-2,1.825E-15,3.814
8.300,2.881E-3,-1.281E-2,0.000,0.000
8.303,2.881E-3,-1.281E-2,0.000,0.000
8.306,2.881E-3,-1.281E-2,0.000,0.000
8.309,2.881E-3,-1.281E-2,0.000,0.000
8.313,2.881E-3,-1.281E-2,0.000,3.814
8.316,2.881E-3,-1.281E-2,2.023E-2,1.907
8.319,3.003E-3,-1.281E-2,2.023E-2,1.907
8.322,3.003E-3,-1.281E-2,0.000,3.814
8.325,3.003E-3,-1.281E-2,0.000,0.000
8.329,3.003E-3,-1.281E-2,0.000,0.000
8.332,3.003E-3,-1.281E-2,0.000,0.361
8.335,3.003E-3,-1.281E-2,2.023E-2,0.181
8.338,3.003E-3,-1.269E-2,2.023E-2,5.721
8.342,3.003E-3,-1.269E-2,4.045E-2,0.000
8.345,3.003E-3,-1.244E-2,4.045E-2,0.000
8.348,3.003E-3,-1.244E-2,2.023E-2,5.721
8.351,3.003E-3,-1.232E-2,2.023E-2,10.27
8.355,3.003E-3,-1.232E-2,4.523E-2,7.863
8.358,3.126E-3,-1.256E-2,4.523E-2,4.264
8.361,3.126E-3,-1.256E-2,0.000,8.529
8.364,3.126E-3,-1.256E-2,0.000,0.000
8.367,3.126E-3,-1.256E-2,0.000,0.000
8.371,3.126E-3,-1.256E-2,0.000,0.000
8.374,3.126E-3,-1.256E-2,0.000,0.000
8.377,3.126E-3,-1.256E-2,0.000,0.000
8.380,3.126E-3,-1.256E-2,0.000,0.000
8.384,3.126E-3,-1.256E-2,0.000,0.000
8.387,3.126E-3,-1.256E-2,0.000,0.000
8.390,3.126E-3,-1.256E-2,0.000,13.75
8.393,3.126E-3,-1.256E-2,7.293E-2,6.876
8.397,2.881E-3,-1.220E-2,7.293E-2,6.876
8.400,2.881E-3,-1.220E-2,0.000,13.75
8.403,2.881E-3,-1.220E-2,0.000,0.000
8.406,2.881E-3,-1.220E-2,0.000,0.000
8.410,2.881E-3,-1.220E-2,0.000,0.000
8.413,2.881E-3,-1.220E-2,0.000,0.000
8.416,2.881E-3,-1.220E-2,0.000,0.000
8.419,2.881E-3,-1.220E-2,0.000,0.000
8.422,2.881E-3,-1.220E-2,0.000,0.000
8.426,2.881E-3,-1.220E-2,0.000,0.000
8.429,2.881E-3,-1.220E-2,0.000,3.814
8.432,2.881E-3,-1.220E-2,2.023E-2,17.58
8.435,2.881E-3,-1.207E-2,0.103,6.031
8.439,2.758E-3,-1.158E-2,8.090E-2,12.06
8.442,2.881E-3,-1.158E-2,2.023E-2,15.38
8.445,2.881E-3,-1.158E-2,0.000,5.394
8.448,2.881E-3,-1.158E-2,2.023E-2,1.907
8.452,2.881E-3,-1.146E-2,2.023E-2,1.907
8.455,2.881E-3,-1.146E-2,0.000,3.814
8.458,2.881E-3,-1.146E-2,0.000,0.000
8.461,2.881E-3,-1.146E-2,0.000,3.814
8.464,2.881E-3,-1.146E-2,2.023E-2,13.35
8.468,2.881E-3,-1.134E-2,8.090E-2,3.814
8.471,2.881E-3,-1.097E-2,6.068E-2,9.535
8.474,2.881E-3,-1.097E-2,0.000,11.44
8.477,2.881E-3,-1.097E-2,0.000,0.000
8.481,2.881E-3,-1.097E-2,0.000,0.000
8.484,2.881E-3,-1.097E-2,0.000,0.000
8.487,2.881E-3,-1.097E-2,0.000,0.000
8.490,2.881E-3,-1.097E-2,0.000,0.000
8.494,2.881E-3,-1.097E-2,0.000,0.000
8.497,2.881E-3,-1.097E-2,0.000,0.000
8.500,2.881E-3,-1.097E-2,0.000,0.000
8.503,2.881E-3,-1.097E-2,0.000,13.75
8.507,2.881E-3,-1.097E-2,7.293E-2,6.876
8.510,2.636E-3,-1.134E-2,7.293E-2,6.876
8.513,2.636E-3,-1.134E-2,0.000,13.75
8.516,2.636E-3,-1.134E-2,0.000,0.000
8.519,2.636E-3,-1.134E-2,0.000,0.000
8.523,2.636E-3,-1.134E-2,0.000,0.000
8.526,2.636E-3,-1.134E-2,0.000,0.000
8.529,2.636E-3,-1.134E-2,0.000,0.000
8.532,2.636E-3,-1.134E-2,0.000,0.000
8.536,2.636E-3,-1.134E-2,0.000,0.000
8.539,2.636E-3,-1.134E-2,0.000,0.000
8.542,2.636E-3,-1.134E-2,0.000,0.000
8.545,2.636E-3,-1.134E-2,0.000,0.000
8.549,2.636E-3,-1.134E-2,0.000,0.000
8.552,2.636E-3,-1.134E-2,0.000,0.000
8.555,2.636E-3,-1.134E-2,0.000,12.06
8.558,2.636E-3,-1.134E-2,6.396E-2,14.52
8.561,2.758E-3,-1.097E-2,0.101,6.876
8.565,3.126E-3,-1.097E-2,6.068E-2,23.59
8.568,3.126E-3,-1.097E-2,6.396E-2,11.12
8.571,3.248E-3,-1.134E-2,6.396E-2,13.48
8.574,3.248E-3,-1.134E-2,4.045E-2,15.73
8.578,3.248E-3,-1.109E-2,4.045E-2,15.26
8.581,3.248E-3,-1.109E-2,0.101,1.907
8.584,3.248E-3,-1.048E-2,0.101,9.535
8.587,3.248E-3,-1.048E-2,0.000,19.07
8.591,3.248E-3,-1.048E-2,0.000,0.000
8.594,3.248E-3,-1.048E-2,0.000,0.000
8.597,3.248E-3,-1.048E-2,0.000,0.000
8.600,3.248E-3,-1.048E-2,0.000,0.000
8.604,3.248E-3,-1.048E-2,0.000,0.000
8.607,3.248E-3,-1.048E-2,0.000,0.000
8.610,3.248E-3,-1.048E-2,0.000,0.000
8.613,3.248E-3,-1.048E-2,0.000,0.000
8.616,3.248E-3,-1.048E-2,0.000,0.000
8.620,3.248E-3,-1.048E-2,0.000,0.000
8.623,3.248E-3,-1.048E-2,0.000,30.75
8.626,3.248E-3,-1.048E-2,0.163,15.38
8.629,2.390E-3,-1.097E-2,0.163,15.38
8.633,2.390E-3,-1.097E-2,0.000,30.75
8.636,2.390E-3,-1.097E-2,0.000,0.000
8.639,2.390E-3,-1.097E-2,0.000,0.000
8.642,2.390E-3,-1.097E-2,0.000,0.000
8.646,2.390E-3,-1.097E-2,0.000,0.000
8.649,2.390E-3,-1.097E-2,0.000,0.000
8.652,2.390E-3,-1.097E-2,0.000,0.000
8.655,2.390E-3,-1.097E-2,0.000,0.000
8.658,2.390E-3,-1.097E-2,0.000,0.000
8.662,2.390E-3,-1.097E-2,0.000,15.26
8.665,2.390E-3,-1.097E-2,8.090E-2,7.628
8.668,2.390E-3,-1.146E-2,8.090E-2,8.529
8.671,2.390E-3,-1.146E-2,2.023E-2,29.85
8.675,2.513E-3,-1.146E-2,0.101,6.876
8.678,2.881E-3,-1.109E-2,8.581E-2,11.12
8.681,2.881E-3,-1.109E-2,0.000,25.59
8.684,2.881E-3,-1.109E-2,6.068E-2,5.721
8.688,2.881E-3,-1.146E-2,6.068E-2,5.721
8.691,2.881E-3,-1.146E-2,0.000,11.44
8.694,2.881E-3,-1.146E-2,0.000,7.628
8.697,2.881E-3,-1.146E-2,4.045E-2,3.814
8.701,2.636E-3,-1.146E-2,4.045E-2,12.06
8.704,2.636E-3,-1.146E-2,6.068E-2,12.21
8.707,2.636E-3,-1.109E-2,8.090E-2,8.529
8.710,2.636E-3,-1.097E-2,7.293E-2,10.27
8.713,2.881E-3,-1.073E-2,5.721E-2,8.529
8.717,2.881E-3,-1.073E-2,0.000,10.79
8.720,2.881E-3,-1.073E-2,0.000,3.814
8.723,2.881E-3,-1.073E-2,2.023E-2,4.264
8.726,3.003E-3,-1.073E-2,2.860E-2,11.12
8.730,3.003E-3,-1.060E-2,6.396E-2,2.697
8.733,2.881E-3,-1.036E-2,2.860E-2,16.40
8.736,3.126E-3,-1.048E-2,7.293E-2,12.21
8.739,3.248E-3,-1.060E-2,4.523E-2,20.27
8.743,2.881E-3,-1.060E-2,7.293E-2,20.63
8.746,2.881E-3,-1.036E-2,0.101,19.91
8.749,3.371E-3,-1.097E-2,8.090E-2,11.44
8.752,3.371E-3,-1.036E-2,4.523E-2,17.58
8.755,3.248E-3,-1.073E-2,6.396E-2,21.74
8.759,3.248E-3,-1.073E-2,5.721E-2,20.54
8.762,3.003E-3,-1.097E-2,2.023E-2,12.21
8.765,3.248E-3,-1.060E-2,7.293E-2,4.264
8.768,3.248E-3,-1.060E-2,0.000,13.75
8.772,3.248E-3,-1.060E-2,0.000,0.000
8.775,3.248E-3,-1.060E-2,0.000,0.000
8.778,3.248E-3,-1.060E-2,0.000,0.000
8.781,3.248E-3,-1.060E-2,0.000,0.000
8.785,3.248E-3,-1.060E-2,0.000,0.000
8.788,3.248E-3,-1.060E-2,0.000,0.000
8.791,3.248E-3,-1.060E-2,0.000,0.000
8.794,3.248E-3,-1.060E-2,0.000,0.000
8.798,3.248E-3,-1.060E-2,0.000,0.000
8.801,3.248E-3,-1.060E-2,0.000,0.000
8.804,3.248E-3,-1.060E-2,0.000,0.000
8.807,3.248E-3,-1.060E-2,0.000,0.000
8.810,3.248E-3,-1.060E-2,0.000,0.000
8.814,3.248E-3,-1.060E-2,0.000,0.000
8.817,3.248E-3,-1.060E-2,0.000,0.000
8.820,3.248E-3,-1.060E-2,0.000,0.000
8.823,3.248E-3,-1.060E-2,0.000,0.000
8.827,3.248E-3,-1.060E-2,0.000,0.000
8.830,3.248E-3,-1.060E-2,0.000,1.245
8.833,3.248E-3,-1.060E-2,1.348E-2,0.633
8.836,3.248E-3,-1.011E-2,1.348E-2,0.106
8.840,3.248E-3,-9.990E-3,2.427E-2,0.739
8.843,3.248E-3,-9.745E-3,4.045E-2,2.785
8.846,3.248E-3,-9.745E-3,2.023E-2,7.863
8.849,3.371E-3,-9.745E-3,2.023E-2,23.90
8.852,3.371E-3,-9.745E-3,0.136,7.863
8.856,4.107E-3,-9.378E-3,5.721E-2,20.54
8.859,3.616E-3,-9.500E-3,8.339E-2,17.99
8.862,3.616E-3,-9.500E-3,0.000,8.529
8.865,3.616E-3,-9.500E-3,4.045E-2,3.814
8.869,3.371E-3,-9.500E-3,4.045E-2,3.814
8.872,3.371E-3,-9.500E-3,0.000,7.628
8.875,3.371E-3,-9.500E-3,0.000,0.000
8.878,3.371E-3,-9.500E-3,0.000,3.814
8.882,3.371E-3,-9.500E-3,2.023E-2,5.721
8.885,3.371E-3,-9.378E-3,4.045E-2,0.000
8.888,3.371E-3,-9.255E-3,2.023E-2,5.721
8.891,3.371E-3,-9.255E-3,1.825E-15,3.814
8.895,3.371E-3,-9.255E-3,0.000,0.000
8.898,3.371E-3,-9.255E-3,0.000,0.000
8.901,3.371E-3,-9.255E-3,0.000,3.814
8.904,3.371E-3,-9.255E-3,2.023E-2,1.907
8.907,3.371E-3,-9.378E-3,2.023E-2,1.907
8.911,3.371E-3,-9.378E-3,0.000,3.814
8.914,3.371E-3,-9.378E-3,0.000,0.000
8.917,3.371E-3,-9.378E-3,0.000,0.000
8.920,3.371E-3,-9.378E-3,0.000,0.000
8.924,3.371E-3,-9.378E-3,0.000,0.000
8.927,3.371E-3,-9.378E-3,0.000,0.000
8.930,3.371E-3,-9.378E-3,0.000,0.000
8.933,3.371E-3,-9.378E-3,0.000,0.000
8.937,3.371E-3,-9.378E-3,0.000,0.000
8.940,3.371E-3,-9.378E-3,0.000,7.628
8.943,3.371E-3,-9.378E-3,4.045E-2,19.07
8.946,3.371E-3,-9.132E-3,0.121,3.814
8.949,3.371E-3,-8.642E-3,8.090E-2,29.05
8.953,3.371E-3,-8.642E-3,8.581E-2,21.74
8.956,3.003E-3,-9.010E-3,8.581E-2,8.091
8.959,3.003E-3,-9.010E-3,0.000,16.18
8.962,3.003E-3,-9.010E-3,0.000,12.06
8.966,3.003E-3,-9.010E-3,6.396E-2,6.031
8.969,2.881E-3,-9.378E-3,6.396E-2,19.63
8.972,2.881E-3,-9.378E-3,8.339E-2,17.58
8.975,3.371E-3,-9.255E-3,8.339E-2,7.863
8.979,3.371E-3,-9.255E-3,1.825E-15,15.73
8.982,3.371E-3,-9.255E-3,0.000,0.000
8.985,3.371E-3,-9.255E-3,0.000,0.000
8.988,3.371E-3,-9.255E-3,0.000,0.000
8.992,3.371E-3,-9.255E-3,0.000,0.000
8.995,3.371E-3,-9.255E-3,0.000,0.000
8.998,3.371E-3,-9.255E-3,0.000,0.000
9.001,3.371E-3,-9.255E-3,0.000,0.000
9.004,3.371E-3,-9.255E-3,0.000,0.000
9.008,3.371E-3,-9.255E-3,0.000,0.000
9.011,3.371E-3,-9.255E-3,0.000,0.000
9.014,3.371E-3,-9.255E-3,0.000,0.000
9.017,3.371E-3,-9.255E-3,0.000,0.000
9.021,3.371E-3,-9.255E-3,0.000,0.000
9.024,3.371E-3,-9.255E-3,0.000,0.000
9.027,3.371E-3,-9.255E-3,0.000,0.000
9.030,3.371E-3,-9.255E-3,0.000,11.44
9.034,3.371E-3,-9.255E-3,6.068E-2,5.721
9.037,3.371E-3,-8.887E-3,6.068E-2,5.721
9.040,3.371E-3,-8.887E-3,0.000,11.44
9.043,3.371E-3,-8.887E-3,0.000,0.000
9.046,3.371E-3,-8.887E-3,0.000,0.000
9.050,3.371E-3,-8.887E-3,0.000,0.000
9.053,3.371E-3,-8.887E-3,0.000,0.000
9.056,3.371E-3,-8.887E-3,0.000,0.000
9.059,3.371E-3,-8.887E-3,0.000,7.628
9.063,3.371E-3,-8.887E-3,4.045E-2,3.814
9.066,3.371E-3,-8.642E-3,4.045E-2,3.814
9.069,3.371E-3,-8.642E-3,0.000,0.000
9.072,3.371E-3,-8.642E-3,4.045E-2,3.814
9.076,3.371E-3,-8.397E-3,4.045E-2,3.814
9.079,3.371E-3,-8.397E-3,0.000,7.628
9.082,3.371E-3,-8.397E-3,0.000,0.000
