t,x,y,v,a
7.588,3.605E-3,-5.538E-3,,
7.592,,,,
7.596,,,,
7.600,,,,
7.605,,,,
7.609,3.452E-3,-5.231E-3,1.248E-2,
7.613,,,,
7.618,,,,
7.622,,,,
7.626,,,,
7.630,3.421E-3,-4.495E-3,1.238E-2,4.622E-2
7.635,,,,
7.639,,,,
7.643,,,,
7.648,,,,
7.652,3.575E-3,-4.188E-3,1.239E-2,7.264E-2
7.656,,,,
7.660,,,,
7.665,,,,
7.669,,,,
7.673,3.452E-3,-3.820E-3,1.489E-2,0.188
7.678,,,,
7.682,,,,
7.686,,,,
7.691,,,,
7.695,3.421E-3,-3.390E-3,1.421E-2,6.858E-2
7.699,,,,
7.703,,,,
7.708,,,,
7.712,,,,
7.716,3.421E-3,-3.390E-3,1.133E-2,0.161
7.721,,,,
7.725,,,,
7.729,,,,
7.733,,,,
7.738,3.452E-3,-2.807E-3,1.671E-2,0.265
7.742,,,,
7.746,,,,
7.751,,,,
7.755,,,,
7.759,3.421E-3,-2.378E-3,2.497E-2,0.107
7.763,,,,
7.768,,,,
7.772,,,,
7.776,,,,
7.781,3.390E-3,-1.826E-3,1.954E-2,0.205
7.785,,,,
7.789,,,,
7.793,,,,
7.798,,,,
7.802,3.390E-3,-1.549E-3,1.150E-2,0.355
7.806,,,,
7.811,,,,
7.815,,,,
7.819,,,,
7.823,3.360E-3,-1.304E-3,1.120E-2,2.232E-2
7.828,,,,
7.832,,,,
7.836,,,,
7.841,,,,
7.845,3.329E-3,-1.181E-3,7.838E-3,0.121
7.849,,,,
7.853,,,,
7.858,,,,
7.862,,,,
7.866,3.329E-3,-7.824E-4,1.151E-2,0.196
7.871,,,,
7.875,,,,
7.879,,,,
7.883,,,,
7.888,3.329E-3,-4.142E-4,1.980E-2,7.410E-2
7.892,,,,
7.896,,,,
7.901,,,,
7.905,,,,
7.909,3.237E-3,4.142E-4,1.857E-2,3.967E-2
7.913,,,,
7.918,,,,
7.922,,,,
7.926,,,,
7.931,3.206E-3,8.745E-4,2.726E-2,7.206E-2
7.935,,,,
7.939,,,,
7.943,,,,
7.948,,,,
7.952,3.237E-3,1.488E-3,2.354E-2,7.297E-2
7.956,,,,
7.961,,,,
7.965,,,,
7.969,,,,
7.973,3.329E-3,2.439E-3,2.118E-2,0.299
7.978,,,,
7.982,,,,
7.986,,,,
7.991,,,,
7.995,3.206E-3,2.900E-3,2.331E-2,0.147
7.999,,,,
8.003,,,,
8.008,,,,
8.012,,,,
8.016,3.298E-3,3.145E-3,1.105E-2,1.492E-2
8.021,,,,
8.025,,,,
8.029,,,,
8.033,,,,
8.038,3.206E-3,3.636E-3,1.302E-2,8.723E-2
8.042,,,,
8.046,,,,
8.051,,,,
8.055,,,,
8.059,3.176E-3,4.004E-3,1.900E-2,0.117
8.063,,,,
8.068,,,,
8.072,,,,
8.076,,,,
8.081,3.176E-3,4.556E-3,1.657E-2,0.175
8.085,,,,
8.089,,,,
8.093,,,,
8.098,,,,
8.102,3.145E-3,5.661E-3,2.255E-2,6.655E-2
8.106,,,,
8.111,,,,
8.115,,,,
8.119,,,,
8.123,3.053E-3,6.397E-3,3.054E-2,0.224
8.128,,,,
8.132,,,,
8.136,,,,
8.141,,,,
8.145,3.022E-3,6.858E-3,2.503E-2,0.525
8.149,,,,
8.153,,,,
8.158,,,,
8.162,,,,
8.166,2.961E-3,7.379E-3,2.237E-2,0.162
8.171,,,,
8.175,,,,
8.179,,,,
8.183,,,,
8.188,2.961E-3,7.533E-3,1.522E-2,0.213
8.192,,,,
8.196,,,,
8.201,,,,
8.205,,,,
8.209,3.053E-3,8.760E-3,1.996E-2,1.752E-2
8.213,,,,
8.218,,,,
8.222,,,,
8.226,,,,
8.231,3.053E-3,9.527E-3,3.038E-2,0.283
8.235,,,,
8.239,,,,
8.244,,,,
8.248,,,,
8.252,3.053E-3,9.957E-3,2.664E-2,0.393
8.256,,,,
8.261,,,,
8.265,,,,
8.269,,,,
8.274,2.930E-3,1.032E-2,2.603E-2,0.103
8.278,,,,
8.282,,,,
8.286,,,,
8.291,,,,
8.295,2.869E-3,1.072E-2,2.438E-2,0.368
8.299,,,,
8.304,,,,
8.308,,,,
8.312,,,,
8.316,2.869E-3,1.106E-2,2.589E-2,0.285
8.321,,,,
8.325,,,,
8.329,,,,
8.334,,,,
8.338,2.992E-3,1.174E-2,2.985E-2,0.203
8.342,,,,
8.346,,,,
8.351,,,,
8.355,,,,
8.359,3.022E-3,1.223E-2,3.752E-2,0.119
8.364,,,,
8.368,,,,
8.372,,,,
8.376,,,,
8.381,3.053E-3,1.287E-2,2.445E-2,5.642E-2
8.385,,,,
8.389,,,,
8.394,,,,
8.398,,,,
8.402,2.961E-3,1.349E-2,2.324E-2,6.268E-2
8.406,,,,
8.411,,,,
8.415,,,,
8.419,,,,
8.424,3.022E-3,1.407E-2,2.683E-2,6.091E-2
8.428,,,,
8.432,,,,
8.436,,,,
8.441,,,,
8.445,3.022E-3,1.487E-2,2.264E-2,9.117E-2
8.449,,,,
8.454,,,,
8.458,,,,
8.462,,,,
8.466,2.992E-3,1.523E-2,2.026E-2,3.992E-2
8.471,,,,
8.475,,,,
8.479,,,,
8.484,,,,
8.488,2.992E-3,1.585E-2,2.253E-2,8.713E-2
8.492,,,,
8.496,,,,
8.501,,,,
8.505,,,,
8.509,3.053E-3,1.646E-2,3.042E-2,9.742E-2
8.514,,,,
8.518,,,,
8.522,,,,
8.526,,,,
8.531,3.053E-3,1.695E-2,3.557E-2,0.173
8.535,,,,
8.539,,,,
8.544,,,,
8.548,,,,
8.552,2.961E-3,1.754E-2,2.800E-2,
8.556,,,,
8.561,,,,
8.565,,,,
8.569,,,,
8.574,3.084E-3,1.839E-2,,
