t,x,y
7.116,3.743E-3,-1.025E-2
7.120,,
7.125,,
7.129,,
7.133,,
7.138,3.770E-3,-1.014E-2
7.142,,
7.146,,
7.150,,
7.155,,
7.159,3.661E-3,-1.000E-2
7.163,,
7.168,,
7.172,,
7.176,,
7.180,3.634E-3,-9.977E-3
7.185,,
7.189,,
7.193,,
7.198,,
7.202,3.525E-3,-9.514E-3
7.206,,
7.210,,
7.215,,
7.219,,
7.223,3.525E-3,-9.269E-3
7.228,,
7.232,,
7.236,,
7.240,,
7.245,3.525E-3,-9.051E-3
7.249,,
7.253,,
7.258,,
7.262,,
7.266,3.553E-3,-8.888E-3
7.270,,
7.275,,
7.279,,
7.283,,
7.288,3.553E-3,-8.806E-3
7.292,,
7.296,,
7.300,,
7.305,,
7.309,3.498E-3,-8.725E-3
7.313,,
7.318,,
7.322,,
7.326,,
7.330,3.498E-3,-8.698E-3
7.335,,
7.339,,
7.343,,
7.348,,
7.352,3.525E-3,-8.643E-3
7.356,,
7.360,,
7.365,,
7.369,,
7.373,3.525E-3,-8.371E-3
7.378,,
7.382,,
7.386,,
7.390,,
7.395,3.471E-3,-8.071E-3
7.399,,
7.403,,
7.408,,
7.412,,
7.416,3.444E-3,-7.963E-3
7.420,,
7.425,,
7.429,,
7.433,,
7.438,3.444E-3,-7.772E-3
7.442,,
7.446,,
7.450,,
7.455,,
7.459,3.444E-3,-7.581E-3
7.463,,
7.468,,
7.472,,
7.476,,
7.480,3.335E-3,-7.336E-3
7.485,,
7.489,,
7.493,,
7.498,,
7.502,3.335E-3,-7.091E-3
7.506,,
7.510,,
7.515,,
7.519,,
7.523,3.335E-3,-6.683E-3
7.528,,
7.532,,
7.536,,
7.540,,
7.545,3.280E-3,-6.438E-3
7.549,,
7.553,,
7.558,,
7.562,,
7.566,3.280E-3,-6.193E-3
7.570,,
7.575,,
7.579,,
7.583,,
7.588,3.253E-3,-6.084E-3
7.592,,
7.596,,
7.600,,
7.605,,
7.609,3.253E-3,-6.003E-3
7.613,,
7.618,,
7.622,,
7.626,,
7.630,3.171E-3,-5.240E-3
7.635,,
7.639,,
7.643,,
7.648,,
7.652,3.335E-3,-4.968E-3
7.656,,
7.660,,
7.665,,
7.669,,
7.673,3.335E-3,-4.641E-3
7.678,,
7.682,,
7.686,,
7.691,,
7.695,3.335E-3,-4.369E-3
7.699,,
7.703,,
7.708,,
7.712,,
7.716,3.335E-3,-4.206E-3
7.721,,
7.725,,
7.729,,
7.733,,
7.738,3.335E-3,-4.124E-3
7.742,,
7.746,,
7.751,,
7.755,,
7.759,3.253E-3,-3.716E-3
7.763,,
7.768,,
7.772,,
7.776,,
7.781,3.226E-3,-3.253E-3
7.785,,
7.789,,
7.793,,
7.798,,
7.802,3.226E-3,-2.954E-3
7.806,,
7.811,,
7.815,,
7.819,,
7.823,3.226E-3,-2.627E-3
7.828,,
7.832,,
7.836,,
7.841,,
7.845,3.171E-3,-2.328E-3
7.849,,
7.853,,
7.858,,
7.862,,
7.866,3.199E-3,-2.001E-3
7.871,,
7.875,,
7.879,,
7.883,,
7.888,3.199E-3,-1.375E-3
7.892,,
7.896,,
7.901,,
7.905,,
7.909,3.090E-3,-6.669E-4
7.913,,
7.918,,
7.922,,
7.926,,
7.931,3.117E-3,-1.225E-4
7.935,,
7.939,,
7.943,,
7.948,,
7.952,3.117E-3,5.036E-4
7.956,,
7.961,,
7.965,,
7.969,,
7.973,3.144E-3,8.575E-4
7.978,,
7.982,,
7.986,,
7.991,,
7.995,3.226E-3,1.266E-3
7.999,,
8.003,,
8.008,,
8.012,,
8.016,3.199E-3,1.647E-3
8.021,,
8.025,,
8.029,,
8.033,,
8.038,3.226E-3,2.001E-3
8.042,,
8.046,,
8.051,,
8.055,,
8.059,3.117E-3,2.627E-3
8.063,,
8.068,,
8.072,,
8.076,,
8.081,3.090E-3,3.144E-3
8.085,,
8.089,,
8.093,,
8.098,,
8.102,3.008E-3,3.607E-3
8.106,,
8.111,,
8.115,,
8.119,,
