t,x,y,v,a
5.877,3.871E-3,-1.254E-2,,
5.881,,,,
5.884,,,,
5.888,,,,
5.892,,,,
5.896,4.199E-3,-1.211E-2,2.052E-2,
5.899,,,,
5.903,,,,
5.907,,,,
5.911,,,,
5.914,4.253E-3,-1.205E-2,7.209E-3,0.423
5.918,,,,
5.922,,,,
5.926,,,,
5.929,,,,
5.933,3.871E-3,-1.189E-2,7.613E-3,8.828E-2
5.937,,,,
5.941,,,,
5.944,,,,
5.948,,,,
5.952,3.871E-3,-1.189E-2,3.599E-3,0.243
5.956,,,,
5.959,,,,
5.963,,,,
5.967,,,,
5.971,3.871E-3,-1.178E-2,7.646E-3,0.674
5.974,,,,
5.978,,,,
5.982,,,,
5.986,,,,
5.989,3.926E-3,-1.161E-2,2.147E-2,0.151
5.993,,,,
5.997,,,,
6.001,,,,
6.004,,,,
6.008,3.708E-3,-1.101E-2,1.656E-2,0.407
6.012,,,,
6.016,,,,
6.019,,,,
6.023,,,,
6.027,3.981E-3,-1.101E-2,4.499E-3,0.562
6.030,,,,
6.034,,,,
6.038,,,,
6.042,,,,
6.045,3.871E-3,-1.101E-2,4.024E-3,0.226
6.049,,,,
6.053,,,,
6.057,,,,
6.060,,,,
6.064,3.871E-3,-1.096E-2,1.799E-3,0.158
6.068,,,,
6.072,,,,
6.075,,,,
6.079,,,,
6.083,3.871E-3,-1.096E-2,2.874E-3,0.350
6.087,,,,
6.090,,,,
6.094,,,,
6.098,,,,
6.102,3.926E-3,-1.085E-2,1.185E-2,0.473
6.105,,,,
6.109,,,,
6.113,,,,
6.117,,,,
6.120,3.762E-3,-1.047E-2,2.345E-2,0.416
6.124,,,,
6.128,,,,
6.132,,,,
6.135,,,,
6.139,3.762E-3,-9.870E-3,2.959E-2,0.401
6.143,,,,
6.147,,,,
6.150,,,,
6.154,,,,
6.158,3.708E-3,-9.215E-3,2.189E-2,0.593
6.161,,,,
6.165,,,,
6.169,,,,
6.173,,,,
6.176,3.871E-3,-9.215E-3,3.856E-3,0.472
6.180,,,,
6.184,,,,
6.188,,,,
6.191,,,,
6.195,3.871E-3,-9.215E-3,2.571E-3,0.380
6.199,,,,
6.203,,,,
6.206,,,,
6.210,,,,
6.214,3.871E-3,-9.106E-3,1.451E-2,9.716E-2
6.218,,,,
6.221,,,,
6.225,,,,
6.229,,,,
6.233,3.817E-3,-8.779E-3,1.095E-2,0.140
6.236,,,,
6.240,,,,
6.244,,,,
6.248,,,,
6.251,3.817E-3,-8.779E-3,1.272E-2,0.917
6.255,,,,
6.259,,,,
6.263,,,,
6.266,,,,
6.270,3.762E-3,-8.397E-3,4.143E-2,0.630
6.274,,,,
6.278,,,,
6.281,,,,
6.285,,,,
6.289,3.762E-3,-7.525E-3,3.119E-2,0.000
6.293,,,,
6.296,,,,
6.300,,,,
6.304,,,,
6.307,3.762E-3,-6.980E-3,2.402E-2,0.848
6.311,,,,
6.315,,,,
6.319,,,,
6.322,,,,
6.326,3.708E-3,-6.434E-3,1.548E-2,0.502
6.330,,,,
6.334,,,,
6.337,,,,
6.341,,,,
6.345,3.490E-3,-6.598E-3,4.377E-3,0.357
6.349,,,,
6.352,,,,
6.356,,,,
6.360,,,,
6.364,3.544E-3,-6.489E-3,1.116E-2,0.369
6.367,,,,
6.371,,,,
6.375,,,,
6.379,,,,
6.382,3.708E-3,-6.216E-3,1.237E-2,0.179
6.386,,,,
6.390,,,,
6.394,,,,
6.397,,,,
6.401,3.653E-3,-6.053E-3,8.075E-3,0.428
6.405,,,,
6.409,,,,
6.412,,,,
6.416,,,,
6.420,3.599E-3,-5.944E-3,4.024E-3,0.130
6.424,,,,
6.427,,,,
6.431,,,,
6.435,,,,
6.438,3.544E-3,-5.998E-3,7.409E-3,0.771
6.442,,,,
6.446,,,,
6.450,,,,
6.453,,,,
6.457,3.599E-3,-5.562E-3,2.760E-2,0.614
6.461,,,,
6.465,,,,
6.468,,,,
6.472,,,,
6.476,3.653E-3,-4.580E-3,5.090E-2,0.190
6.480,,,,
6.483,,,,
6.487,,,,
6.491,,,,
6.495,3.817E-3,-4.035E-3,3.080E-2,0.486
6.498,,,,
6.502,,,,
6.506,,,,
6.510,,,,
6.513,3.762E-3,-3.653E-3,4.588E-2,0.482
6.517,,,,
6.521,,,,
6.525,,,,
6.528,,,,
6.532,3.544E-3,-2.672E-3,3.143E-2,0.861
6.536,,,,
6.540,,,,
6.543,,,,
6.547,,,,
6.551,3.544E-3,-2.726E-3,1.384E-3,0.853
6.555,,,,
6.558,,,,
6.562,,,,
6.566,,,,
6.570,3.544E-3,-2.726E-3,3.915E-3,0.363
6.573,,,,
6.577,,,,
6.581,,,,
6.584,,,,
6.588,3.653E-3,-2.617E-3,1.310E-2,0.239
6.592,,,,
6.596,,,,
6.599,,,,
6.603,,,,
6.607,3.653E-3,-2.345E-3,1.358E-2,0.595
6.611,,,,
6.614,,,,
6.618,,,,
6.622,,,,
6.626,3.708E-3,-2.127E-3,2.554E-2,0.464
6.629,,,,
6.633,,,,
6.637,,,,
6.641,,,,
6.644,3.708E-3,-1.418E-3,3.817E-2,0.477
6.648,,,,
6.652,,,,
6.656,,,,
6.659,,,,
6.663,3.544E-3,-9.815E-4,1.272E-2,0.162
6.667,,,,
6.671,,,,
6.674,,,,
6.678,,,,
6.682,3.381E-3,-1.091E-3,2.076E-2,0.431
6.686,,,,
6.689,,,,
6.693,,,,
6.697,,,,
6.701,3.544E-3,-1.636E-4,3.224E-2,0.108
6.704,,,,
6.708,,,,
6.712,,,,
6.716,,,,
6.719,3.490E-3,2.726E-4,1.805E-2,0.582
6.723,,,,
6.727,,,,
6.730,,,,
6.734,,,,
6.738,3.490E-3,5.453E-4,2.447E-2,2.566E-2
6.742,,,,
6.745,,,,
6.749,,,,
6.753,,,,
6.757,3.272E-3,9.815E-4,2.753E-2,0.173
6.760,,,,
6.764,,,,
6.768,,,,
6.772,,,,
6.775,3.326E-3,1.363E-3,2.346E-2,0.349
6.779,,,,
6.783,,,,
6.787,,,,
6.790,,,,
6.794,3.326E-3,1.690E-3,2.167E-2,0.206
6.798,,,,
6.802,,,,
6.805,,,,
6.809,,,,
6.813,3.381E-3,2.018E-3,1.808E-2,0.140
6.817,,,,
6.820,,,,
6.824,,,,
6.828,,,,
6.832,3.381E-3,2.236E-3,1.619E-2,7.587E-2
6.835,,,,
6.839,,,,
6.843,,,,
6.847,,,,
6.850,3.381E-3,2.508E-3,1.979E-2,0.152
6.854,,,,
6.858,,,,
6.861,,,,
6.865,,,,
6.869,3.381E-3,2.835E-3,1.560E-2,0.323
6.873,,,,
6.876,,,,
6.880,,,,
6.884,,,,
6.888,3.381E-3,3.217E-3,2.126E-2,6.867E-2
6.891,,,,
6.895,,,,
6.899,,,,
6.903,,,,
6.906,3.108E-3,3.762E-3,2.620E-2,0.217
6.910,,,,
6.914,,,,
6.918,,,,
6.921,,,,
6.925,3.163E-3,3.981E-3,1.036E-2,0.151
6.929,,,,
6.933,,,,
6.936,,,,
6.940,,,,
6.944,3.163E-3,4.199E-3,1.564E-2,0.170
6.948,,,,
6.951,,,,
6.955,,,,
6.959,,,,
6.963,3.054E-3,4.635E-3,2.367E-2,9.716E-2
6.966,,,,
6.970,,,,
6.974,,,,
6.978,,,,
6.981,3.054E-3,4.908E-3,1.808E-2,0.612
6.985,,,,
6.989,,,,
6.993,,,,
6.996,,,,
7.000,3.108E-3,5.180E-3,3.963E-2,0.486
7.004,,,,
7.007,,,,
7.011,,,,
7.015,,,,
7.019,2.999E-3,6.107E-3,4.154E-2,0.421
7.022,,,,
7.026,,,,
7.030,,,,
7.034,,,,
7.037,2.999E-3,6.434E-3,1.350E-2,0.578
7.041,,,,
7.045,,,,
7.049,,,,
7.052,,,,
7.056,2.999E-3,6.598E-3,1.824E-2,0.260
7.060,,,,
7.064,,,,
7.067,,,,
