t,x,y,a,p
9.196,0.230,-0.271,,
9.200,,,,
9.203,,,,
9.207,,,,
9.211,,,,
9.214,0.230,-0.271,,2.914E-2
9.218,,,,
9.222,,,,
9.226,,,,
9.229,,,,
9.233,0.230,-0.270,0.495,3.923E-2
9.237,,,,
9.241,,,,
9.244,,,,
9.248,,,,
9.252,0.229,-0.270,1.460,2.626E-2
9.255,,,,
9.259,,,,
9.263,,,,
9.267,,,,
9.270,0.229,-0.270,0.137,3.642E-2
9.274,,,,
9.278,,,,
9.281,,,,
9.285,,,,
9.289,0.228,-0.270,2.667,3.642E-2
9.293,,,,
9.296,,,,
9.300,,,,
9.304,,,,
9.308,0.228,-0.269,3.955,8.526E-2
9.311,,,,
9.315,,,,
9.319,,,,
9.322,,,,
9.326,0.227,-0.267,2.335,0.139
9.330,,,,
9.334,,,,
9.337,,,,
9.341,,,,
9.345,0.228,-0.265,2.706,0.149
9.349,,,,
9.352,,,,
9.356,,,,
9.360,,,,
9.363,0.228,-0.263,3.711,8.305E-2
9.367,,,,
9.371,,,,
9.375,,,,
9.378,,,,
9.382,0.226,-0.263,1.182,7.499E-2
9.386,,,,
9.389,,,,
9.393,,,,
9.397,,,,
9.401,0.226,-0.262,3.265,5.873E-2
9.404,,,,
9.408,,,,
9.412,,,,
9.416,,,,
9.419,0.226,-0.261,7.204,5.547E-2
9.423,,,,
9.427,,,,
9.430,,,,
9.434,,,,
9.438,0.227,-0.260,5.124,0.129
9.442,,,,
9.445,,,,
9.449,,,,
9.453,,,,
9.456,0.227,-0.265,2.134,0.176
9.460,,,,
9.464,,,,
9.468,,,,
9.471,,,,
9.475,0.229,-0.265,5.972,8.742E-2
9.479,,,,
9.483,,,,
9.486,,,,
9.490,,,,
9.494,0.229,-0.265,4.121,4.371E-2
9.497,,,,
9.501,,,,
9.505,,,,
9.509,,,,
9.512,0.230,-0.265,2.972,9.774E-2
9.516,,,,
9.520,,,,
9.523,,,,
9.527,,,,
9.531,0.230,-0.262,7.599,9.774E-2
9.535,,,,
9.538,,,,
9.542,,,,
9.546,,,,
9.550,0.229,-0.262,1.649,0.195
9.553,,,,
9.557,,,,
9.561,,,,
9.564,,,,
9.568,0.225,-0.260,3.497,0.185
9.572,,,,
9.576,,,,
9.579,,,,
9.583,,,,
9.587,0.225,-0.258,7.091,0.138
9.591,,,,
9.594,,,,
9.598,,,,
9.602,,,,
9.605,0.224,-0.256,2.473,4.371E-2
9.609,,,,
9.613,,,,
9.617,,,,
9.620,,,,
9.624,0.225,-0.257,0.000,0.000
9.628,,,,
9.631,,,,
9.635,,,,
9.639,,,,
9.643,0.224,-0.256,3.209,6.516E-2
9.646,,,,
9.650,,,,
9.654,,,,
9.658,,,,
9.661,0.224,-0.254,1.180,8.742E-2
9.665,,,,
9.669,,,,
9.672,,,,
9.676,,,,
9.680,0.224,-0.252,0.770,8.742E-2
9.684,,,,
9.687,,,,
9.691,,,,
9.695,,,,
9.698,0.224,-0.252,0.220,5.052E-2
9.702,,,,
9.706,,,,
9.710,,,,
9.713,,,,
9.717,0.226,-0.249,1.387,5.507E-2
9.721,,,,
9.725,,,,
9.728,,,,
9.732,,,,
9.736,0.225,-0.248,2.081,0.138
9.739,,,,
9.743,,,,
9.747,,,,
9.751,,,,
9.754,0.223,-0.246,1.161,0.193
9.758,,,,
9.762,,,,
9.765,,,,
9.769,,,,
9.773,0.220,-0.243,4.437,0.193
9.777,,,,
9.780,,,,
9.784,,,,
9.788,,,,
9.792,0.219,-0.242,5.154,0.175
9.795,,,,
9.799,,,,
9.803,,,,
9.806,,,,
9.810,0.220,-0.238,4.830,0.180
9.814,,,,
9.818,,,,
9.821,,,,
9.825,,,,
9.829,0.220,-0.236,3.285,0.273
9.833,,,,
9.836,,,,
9.840,,,,
9.844,,,,
9.847,0.220,-0.230,4.106,0.192
9.851,,,,
9.855,,,,
9.859,,,,
9.862,,,,
9.866,0.223,-0.231,2.961,7.022E-2
9.870,,,,
9.873,,,,
9.877,,,,
9.881,,,,
9.885,0.222,-0.229,5.736,0.161
9.888,,,,
9.892,,,,
9.896,,,,
9.900,,,,
9.903,0.224,-0.226,7.152,0.249
9.907,,,,
9.911,,,,
9.914,,,,
9.918,,,,
9.922,0.228,-0.224,4.586,0.246
9.926,,,,
9.929,,,,
9.933,,,,
9.937,,,,
9.940,0.231,-0.225,6.565,0.118
9.944,,,,
9.948,,,,
9.952,,,,
9.955,,,,
9.959,0.232,-0.224,3.082,6.515E-2
9.963,,,,
9.967,,,,
9.970,,,,
9.974,,,,
9.978,0.233,-0.225,1.353,5.873E-2
9.981,,,,
9.985,,,,
9.989,,,,
9.993,,,,
9.996,0.233,-0.225,3.162,2.303E-2
10.000,,,,
10.004,,,,
10.007,,,,
10.011,,,,
10.015,0.233,-0.225,6.542,2.914E-2
10.019,,,,
10.022,,,,
10.026,,,,
10.030,,,,
10.034,0.233,-0.224,0.904,0.137
10.037,,,,
10.041,,,,
10.045,,,,
10.048,,,,
10.052,0.233,-0.229,6.244,9.228E-2
10.056,,,,
10.060,,,,
10.063,,,,
10.067,,,,
10.071,0.233,-0.227,7.205,0.149
