t,x,y
5.137,8.324E-3,-1.642E-2
5.141,,
5.144,,
5.148,,
5.152,,
5.156,8.407E-3,-1.627E-2
5.159,,
5.163,,
5.167,,
5.170,,
5.174,8.457E-3,-1.627E-2
5.178,,
5.182,,
5.185,,
5.189,,
5.193,8.457E-3,-1.627E-2
5.196,,
5.200,,
5.204,,
5.207,,
5.211,8.490E-3,-1.622E-2
5.215,,
5.219,,
5.222,,
5.226,,
5.230,8.490E-3,-1.622E-2
5.233,,
5.237,,
5.241,,
5.245,,
5.248,8.490E-3,-1.622E-2
5.252,,
5.256,,
5.259,,
5.263,,
5.267,8.490E-3,-1.617E-2
5.271,,
5.274,,
5.278,,
5.282,,
5.285,8.473E-3,-1.615E-2
5.289,,
5.293,,
5.296,,
5.300,,
5.304,8.473E-3,-1.615E-2
5.308,,
5.311,,
5.315,,
5.319,,
5.322,8.490E-3,-1.617E-2
5.326,,
5.330,,
5.334,,
5.337,,
5.341,8.540E-3,-1.617E-2
5.345,,
5.348,,
5.352,,
5.356,,
5.360,8.556E-3,-1.617E-2
5.363,,
5.367,,
5.371,,
5.374,,
5.378,8.689E-3,-1.610E-2
5.382,,
5.386,,
5.389,,
5.393,,
5.397,8.639E-3,-1.610E-2
5.400,,
5.404,,
5.408,,
5.411,,
5.415,8.672E-3,-1.612E-2
5.419,,
5.423,,
5.426,,
5.430,,
5.434,8.478E-3,-1.597E-2
5.437,,
5.441,,
5.445,,
5.449,,
5.452,8.506E-3,-1.600E-2
5.456,,
5.460,,
5.463,,
5.467,,
5.471,8.506E-3,-1.597E-2
5.475,,
5.478,,
5.482,,
5.486,,
5.489,8.506E-3,-1.593E-2
5.493,,
5.497,,
5.500,,
5.504,,
5.508,8.506E-3,-1.590E-2
5.512,,
5.515,,
5.519,,
5.523,,
5.526,8.496E-3,-1.589E-2
5.530,,
5.534,,
5.538,,
5.541,,
5.545,8.478E-3,-1.586E-2
5.549,,
5.552,,
5.556,,
5.560,,
5.564,8.478E-3,-1.584E-2
5.567,,
5.571,,
5.575,,
5.578,,
5.582,8.478E-3,-1.580E-2
5.586,,
5.590,,
5.593,,
5.597,,
5.601,8.478E-3,-1.580E-2
5.604,,
5.608,,
5.612,,
5.615,,
5.619,8.478E-3,-1.578E-2
5.623,,
5.627,,
5.630,,
5.634,,
5.638,8.478E-3,-1.575E-2
5.641,,
5.645,,
5.649,,
5.653,,
5.656,8.478E-3,-1.572E-2
5.660,,
5.664,,
5.667,,
5.671,,
5.675,8.478E-3,-1.572E-2
5.679,,
5.682,,
5.686,,
5.690,,
5.693,8.478E-3,-1.569E-2
5.697,,
5.701,,
5.704,,
5.708,,
5.712,8.478E-3,-1.568E-2
5.716,,
5.719,,
5.723,,
5.727,,
5.730,8.478E-3,-1.567E-2
5.734,,
5.738,,
5.742,,
5.745,,
5.749,8.449E-3,-1.571E-2
5.753,,
5.756,,
5.760,,
5.764,,
5.768,8.449E-3,-1.568E-2
5.771,,
5.775,,
5.779,,
5.782,,
5.786,8.449E-3,-1.568E-2
5.790,,
5.793,,
5.797,,
5.801,,
5.805,8.449E-3,-1.567E-2
5.808,,
5.812,,
5.816,,
5.819,,
5.823,8.421E-3,-1.564E-2
5.827,,
5.831,,
5.834,,
5.838,,
5.842,8.403E-3,-1.559E-2
5.845,,
5.849,,
5.853,,
5.857,,
5.860,8.374E-3,-1.555E-2
5.864,,
5.868,,
5.871,,
5.875,,
5.879,8.374E-3,-1.555E-2
5.883,,
5.886,,
5.890,,
5.894,,
5.897,8.356E-3,-1.552E-2
5.901,,
5.905,,
5.908,,
5.912,,
5.916,8.356E-3,-1.549E-2
5.920,,
5.923,,
5.927,,
5.931,,
5.934,8.356E-3,-1.549E-2
5.938,,
5.942,,
5.946,,
5.949,,
5.953,8.346E-3,-1.547E-2
5.957,,
5.960,,
5.964,,
5.968,,
5.972,8.346E-3,-1.546E-2
5.975,,
5.979,,
5.983,,
5.986,,
5.990,8.337E-3,-1.545E-2
5.994,,
5.997,,
6.001,,
6.005,,
6.009,8.328E-3,-1.541E-2
6.012,,
6.016,,
6.020,,
6.023,,
6.027,8.328E-3,-1.541E-2
6.031,,
6.035,,
6.038,,
6.042,,
6.046,8.318E-3,-1.533E-2
6.049,,
6.053,,
6.057,,
6.061,,
6.064,8.262E-3,-1.524E-2
6.068,,
6.072,,
6.075,,
6.079,,
6.083,8.243E-3,-1.516E-2
6.087,,
6.090,,
6.094,,
6.098,,
6.101,8.140E-3,-1.504E-2
6.105,,
6.109,,
6.112,,
6.116,,
6.120,8.131E-3,-1.494E-2
6.124,,
6.127,,
6.131,,
6.135,,
6.138,8.131E-3,-1.494E-2
6.142,,
6.146,,
6.150,,
6.153,,
6.157,8.112E-3,-1.485E-2
6.161,,
6.164,,
6.168,,
6.172,,
6.176,8.102E-3,-1.484E-2
6.179,,
6.183,,
6.187,,
6.190,,
6.194,8.056E-3,-1.474E-2
6.198,,
6.201,,
6.205,,
6.209,,
6.213,8.056E-3,-1.470E-2
6.216,,
6.220,,
6.224,,
6.227,,
6.231,8.037E-3,-1.463E-2
6.235,,
6.239,,
6.242,,
6.246,,
6.250,7.999E-3,-1.458E-2
6.253,,
6.257,,
6.261,,
6.265,,
6.268,7.999E-3,-1.452E-2
6.272,,
6.276,,
6.279,,
6.283,,
6.287,7.971E-3,-1.447E-2
6.291,,
6.294,,
6.298,,
6.302,,
6.305,7.952E-3,-1.439E-2
6.309,,
6.313,,
6.316,,
6.320,,
6.324,7.943E-3,-1.429E-2
6.328,,
6.331,,
6.335,,
6.339,,
6.342,7.887E-3,-1.411E-2
6.346,,
6.350,,
6.354,,
6.357,,
6.361,7.868E-3,-1.387E-2
6.365,,
6.368,,
6.372,,
6.376,,
6.380,7.821E-3,-1.362E-2
6.383,,
6.387,,
