t,x,y,v,a
0.000,3.432E-3,5.056E-3,,
0.003,3.432E-3,4.819E-3,5.021E-2,
0.006,3.389E-3,4.755E-3,5.021E-3,3.697
0.009,3.410E-3,4.798E-3,2.159E-2,6.900
0.012,3.367E-3,4.626E-3,5.951E-2,4.976
0.015,3.303E-3,4.454E-3,4.829E-2,5.490
0.018,3.281E-3,4.346E-3,2.862E-2,4.031
0.021,3.324E-3,4.282E-3,2.927E-2,1.339
0.024,3.324E-3,4.174E-3,2.485E-2,1.380
0.027,3.324E-3,4.131E-3,2.485E-2,1.674
0.030,3.324E-3,4.023E-3,2.584E-2,1.803
0.033,3.367E-3,3.980E-3,1.280E-2,1.380
0.036,3.367E-3,3.959E-3,2.159E-2,1.803
0.039,3.346E-3,3.851E-3,2.159E-2,2.036
0.042,3.346E-3,3.830E-3,3.550E-3,0.748
0.045,3.346E-3,3.830E-3,2.130E-2,3.347
0.048,3.346E-3,3.701E-3,3.195E-2,0.335
0.052,3.346E-3,3.636E-3,1.420E-2,3.347
0.055,3.346E-3,3.615E-3,1.065E-2,0.335
0.058,3.346E-3,3.572E-3,1.775E-2,0.335
0.061,3.346E-3,3.507E-3,1.420E-2,2.008
0.064,3.346E-3,3.485E-3,3.550E-3,1.207
0.067,3.346E-3,3.485E-3,1.810E-2,1.952
0.070,3.324E-3,3.378E-3,2.245E-2,1.497
0.073,3.303E-3,3.356E-3,1.912E-2,1.803
0.076,3.281E-3,3.270E-3,3.568E-2,4.140
0.079,3.281E-3,3.141E-3,4.260E-2,4.072
0.082,3.281E-3,3.012E-3,5.680E-2,1.339
0.085,3.281E-3,2.797E-3,4.260E-2,6.062
0.088,3.281E-3,2.754E-3,1.123E-2,4.364
0.091,3.303E-3,2.732E-3,1.775E-2,1.674
0.094,3.281E-3,2.646E-3,2.485E-2,1.207
0.097,3.303E-3,2.582E-3,1.280E-2,2.699
0.100,3.324E-3,2.582E-3,1.004E-2,0.669
0.103,3.346E-3,2.539E-3,1.280E-2,0.748
0.106,3.367E-3,2.517E-3,7.938E-3,2.245
0.109,3.367E-3,2.496E-3,2.130E-2,2.117
0.112,3.367E-3,2.388E-3,2.485E-2,2.699
0.115,3.367E-3,2.345E-3,2.927E-2,7.633
0.118,3.410E-3,2.216E-3,1.588E-2,16.74
0.121,3.453E-3,2.388E-3,8.550E-2,7.210
0.124,3.453E-3,2.732E-3,5.691E-2,15.49
0.127,3.432E-3,2.732E-3,2.510E-2,13.73
0.130,3.432E-3,2.582E-3,2.840E-2,0.669
0.133,3.432E-3,2.560E-3,1.123E-2,2.367
0.136,3.410E-3,2.517E-3,1.775E-2,0.748
0.139,3.432E-3,2.453E-3,1.123E-2,1.058
0.142,3.432E-3,2.453E-3,7.100E-3,1.339
0.145,3.432E-3,2.410E-3,2.159E-2,0.748
0.148,3.453E-3,2.324E-3,1.464E-2,2.036
0.152,3.453E-3,2.324E-3,3.550E-3,2.437
0.155,3.453E-3,2.302E-3,3.550E-3,0.335
0.158,3.453E-3,2.302E-3,3.550E-3,4.351
0.161,3.453E-3,2.281E-3,2.840E-2,4.686
0.164,3.453E-3,2.130E-3,3.905E-2,1.004
0.167,3.453E-3,2.044E-3,1.775E-2,3.297
0.170,3.453E-3,2.022E-3,1.912E-2,1.380
0.173,3.496E-3,1.936E-3,2.704E-2,1.058
0.176,3.518E-3,1.872E-3,1.123E-2,4.044
0.179,3.518E-3,1.872E-3,0.000,2.008
0.182,3.518E-3,1.872E-3,1.775E-2,1.674
0.185,3.604E-3,1.807E-3,1.775E-2,0.335
0.188,3.604E-3,1.807E-3,1.004E-2,1.893
0.191,3.647E-3,1.764E-3,2.381E-2,3.364
0.194,3.668E-3,1.678E-3,2.927E-2,5.520
0.197,3.690E-3,1.592E-3,5.278E-2,0.748
0.200,3.776E-3,1.377E-3,3.824E-2,20.23
0.203,3.776E-3,1.377E-3,7.938E-2,13.93
0.206,3.364E-3,1.626E-3,7.938E-2,7.655
0.209,3.364E-3,1.626E-3,5.939E-3,15.90
0.212,3.348E-3,1.594E-3,1.354E-2,2.766
0.215,3.348E-3,1.545E-3,2.125E-2,2.504
0.218,3.348E-3,1.465E-3,2.709E-2,1.120
0.221,3.380E-3,1.384E-3,1.680E-2,1.120
0.224,3.380E-3,1.368E-3,1.594E-2,2.920
0.227,3.380E-3,1.288E-3,3.028E-2,0.792
0.230,3.332E-3,1.191E-3,1.782E-2,2.614
0.233,3.332E-3,1.191E-3,7.968E-3,2.709
0.236,3.332E-3,1.143E-3,7.968E-3,2.800
0.239,3.332E-3,1.143E-3,1.878E-2,1.460
0.242,3.316E-3,1.030E-3,2.449E-2,5.781
0.245,3.300E-3,9.980E-4,4.283E-2,1.120
0.248,3.284E-3,7.726E-4,4.523E-2,3.341
0.252,3.284E-3,7.243E-4,1.062E-2,7.030
0.255,3.284E-3,7.083E-4,5.312E-3,1.503
0.258,3.284E-3,6.922E-4,2.656E-3,0.751
0.261,3.284E-3,6.922E-4,7.968E-3,3.756
0.264,3.284E-3,6.439E-4,2.656E-2,5.710
0.267,3.284E-3,5.312E-4,4.324E-2,0.903
0.270,3.235E-3,3.863E-4,3.285E-2,2.517
0.273,3.235E-3,3.380E-4,2.141E-2,3.723
0.276,3.219E-3,2.575E-4,1.616E-2,1.033
0.279,3.219E-3,2.414E-4,1.062E-2,0.501
0.282,3.219E-3,1.932E-4,1.934E-2,0.560
0.285,3.187E-3,1.288E-4,1.188E-2,3.646
0.288,3.187E-3,1.288E-4,3.285E-2,2.517
0.291,3.139E-3,-6.439E-5,4.063E-2,0.792
0.294,3.139E-3,-1.127E-4,2.405E-2,2.855
0.297,3.123E-3,-2.093E-4,2.969E-2,0.751
0.300,3.107E-3,-2.897E-4,1.878E-2,1.907
0.303,3.107E-3,-3.219E-4,1.594E-2,2.065
0.306,3.107E-3,-3.863E-4,1.062E-2,0.501
0.309,3.107E-3,-3.863E-4,7.968E-3,1.252
0.312,3.107E-3,-4.346E-4,2.125E-2,0.501
0.315,3.107E-3,-5.151E-4,1.328E-2,2.254
0.318,3.107E-3,-5.151E-4,2.656E-3,0.250
0.321,3.107E-3,-5.312E-4,1.594E-2,2.065
0.324,3.107E-3,-6.117E-4,1.878E-2,1.277
0.327,3.091E-3,-6.439E-4,1.878E-2,1.771
0.330,3.091E-3,-7.243E-4,1.328E-2,1.252
0.333,3.091E-3,-7.243E-4,8.399E-3,1.277
0.336,3.107E-3,-7.726E-4,2.405E-2,6.803
0.339,3.107E-3,-8.692E-4,4.810E-2,0.491
0.342,3.139E-3,-1.062E-3,3.431E-2,0.773
0.345,3.130E-3,-1.076E-3,3.064E-2,4.837
0.348,3.130E-3,-1.248E-3,6.350E-2,8.629
0.352,3.303E-3,-1.420E-3,1.464E-2,8.096
0.355,3.152E-3,-1.162E-3,5.545E-2,11.69
0.358,3.087E-3,-1.678E-3,0.110,6.778
0.361,3.130E-3,-1.829E-3,2.584E-2,13.12
0.364,3.130E-3,-1.829E-3,2.840E-2,6.172
0.367,3.130E-3,-2.001E-3,2.008E-2,3.347
0.370,3.044E-3,-1.915E-3,2.159E-2,0.748
0.373,3.001E-3,-1.979E-3,2.927E-2,4.734
0.376,3.001E-3,-2.087E-3,1.775E-2,5.729
0.379,3.001E-3,-2.087E-3,1.123E-2,1.707
0.382,2.980E-3,-2.022E-3,1.506E-2,5.700
0.385,2.937E-3,-2.152E-3,3.620E-2,2.760
0.388,2.937E-3,-2.238E-3,2.159E-2,4.792
0.391,2.915E-3,-2.281E-3,7.938E-3,3.364
0.394,2.915E-3,-2.281E-3,0.000,1.497
0.397,2.915E-3,-2.281E-3,0.000,0.000
0.400,2.915E-3,-2.281E-3,0.000,2.994
0.403,2.915E-3,-2.281E-3,1.588E-2,3.605
0.406,2.872E-3,-2.367E-3,2.704E-2,2.367
0.409,2.851E-3,-2.431E-3,2.510E-2,1.707
0.412,2.851E-3,-2.517E-3,3.620E-2,1.339
0.415,2.808E-3,-2.646E-3,2.245E-2,2.760
0.418,2.808E-3,-2.646E-3,1.065E-2,1.380
0.421,2.808E-3,-2.711E-3,2.485E-2,0.335
0.424,2.808E-3,-2.797E-3,1.420E-2,2.008
0.427,2.808E-3,-2.797E-3,7.100E-3,0.669
0.430,2.808E-3,-2.840E-3,2.130E-2,2.678
0.433,2.808E-3,-2.926E-3,2.485E-2,0.335
0.436,2.808E-3,-2.991E-3,2.130E-2,0.669
0.439,2.808E-3,-3.055E-3,2.130E-2,2.008
0.442,2.808E-3,-3.120E-3,1.065E-2,2.343
0.445,2.808E-3,-3.120E-3,3.550E-3,2.343
0.448,2.808E-3,-3.141E-3,2.485E-2,1.674
0.452,2.808E-3,-3.270E-3,2.130E-2,2.008
0.455,2.808E-3,-3.270E-3,3.550E-3,1.004
