t,x,y,v,a
11.955,0.282,0.208,,
11.958,,,,
11.961,,,,
11.964,,,,
11.967,,,,
11.970,,,,
11.973,,,,
11.976,,,,
11.979,,,,
11.982,,,,
11.985,,,,
11.988,,,,
11.991,,,,
11.994,,,,
11.997,,,,
12.000,0.293,0.195,0.231,
12.003,,,,
12.006,,,,
12.009,,,,
12.012,,,,
12.015,,,,
12.018,,,,
12.021,,,,
12.024,,,,
12.027,,,,
12.030,,,,
12.033,,,,
12.036,,,,
12.039,,,,
12.042,,,,
12.045,0.296,0.192,9.990E-2,1.540
12.048,,,,
12.052,,,,
12.055,,,,
12.058,,,,
12.061,,,,
12.064,,,,
12.067,,,,
12.070,,,,
12.073,,,,
12.076,,,,
12.079,,,,
12.082,,,,
12.085,,,,
12.088,,,,
12.091,0.295,0.186,0.142,0.200
12.094,,,,
12.097,,,,
12.100,,,,
12.103,,,,
12.106,,,,
12.109,,,,
12.112,,,,
12.115,,,,
12.118,,,,
12.121,,,,
12.124,,,,
12.127,,,,
12.130,,,,
12.133,,,,
12.136,0.298,0.179,0.125,1.166
12.139,,,,
12.142,,,,
12.145,,,,
12.148,,,,
12.152,,,,
12.155,,,,
12.158,,,,
12.161,,,,
12.164,,,,
12.167,,,,
12.170,,,,
12.173,,,,
12.176,,,,
12.179,,,,
12.182,0.300,0.176,4.391E-2,0.841
12.185,,,,
12.188,,,,
12.191,,,,
12.194,,,,
12.197,,,,
12.200,,,,
12.203,,,,
12.206,,,,
12.209,,,,
12.212,,,,
12.215,,,,
12.218,,,,
12.221,,,,
12.224,,,,
12.227,0.300,0.176,5.655E-2,0.311
12.230,,,,
12.233,,,,
12.236,,,,
12.239,,,,
12.242,,,,
12.245,,,,
12.248,,,,
12.252,,,,
12.255,,,,
12.258,,,,
12.261,,,,
12.264,,,,
12.267,,,,
12.270,,,,
12.273,0.298,0.171,8.258E-2,0.885
12.276,,,,
12.279,,,,
12.282,,,,
12.285,,,,
12.288,,,,
12.291,,,,
12.294,,,,
12.297,,,,
12.300,,,,
12.303,,,,
12.306,,,,
12.309,,,,
12.312,,,,
12.315,,,,
12.318,0.300,0.169,5.655E-2,0.813
12.321,,,,
12.324,,,,
12.327,,,,
12.330,,,,
12.333,,,,
12.336,,,,
12.339,,,,
12.342,,,,
12.345,,,,
12.348,,,,
12.352,,,,
12.355,,,,
12.358,,,,
12.361,,,,
12.364,0.303,0.172,4.115E-2,0.355
12.367,,,,
12.370,,,,
12.373,,,,
12.376,,,,
12.379,,,,
12.382,,,,
12.385,,,,
12.388,,,,
12.391,,,,
12.394,,,,
12.397,,,,
12.400,,,,
12.403,,,,
12.406,,,,
12.409,0.303,0.169,2.828E-2,0.617
12.412,,,,
12.415,,,,
12.418,,,,
12.421,,,,
12.424,,,,
12.427,,,,
12.430,,,,
12.433,,,,
12.436,,,,
12.439,,,,
12.442,,,,
12.445,,,,
12.448,,,,
12.452,,,,
12.455,0.304,0.169,0.000,1.104
12.458,,,,
12.461,,,,
12.464,,,,
12.467,,,,
12.470,,,,
12.473,,,,
12.476,,,,
12.479,,,,
12.482,,,,
12.485,,,,
12.488,,,,
12.491,,,,
12.494,,,,
12.497,,,,
12.500,0.303,0.169,6.470E-2,0.450
12.503,,,,
12.506,,,,
12.509,,,,
12.512,,,,
12.515,,,,
12.518,,,,
12.521,,,,
12.524,,,,
12.527,,,,
12.530,,,,
12.533,,,,
12.536,,,,
12.539,,,,
12.542,,,,
12.545,0.299,0.172,5.655E-2,0.916
12.548,,,,
12.552,,,,
12.555,,,,
12.558,,,,
12.561,,,,
12.564,,,,
12.567,,,,
12.570,,,,
12.573,,,,
12.576,,,,
12.579,,,,
12.582,,,,
12.585,,,,
12.588,,,,
12.591,0.298,0.170,5.655E-2,1.777
12.594,,,,
12.597,,,,
12.600,,,,
12.603,,,,
12.606,,,,
12.609,,,,
12.612,,,,
12.615,,,,
12.618,,,,
12.621,,,,
12.624,,,,
12.627,,,,
12.630,,,,
12.633,,,,
12.636,0.300,0.167,0.117,0.232
12.639,,,,
12.642,,,,
12.645,,,,
12.648,,,,
12.652,,,,
12.655,,,,
12.658,,,,
12.661,,,,
12.664,,,,
12.667,,,,
12.670,,,,
12.673,,,,
12.676,,,,
12.679,,,,
12.682,0.300,0.159,6.892E-2,2.207
12.685,,,,
12.688,,,,
12.691,,,,
12.694,,,,
12.697,,,,
12.700,,,,
12.703,,,,
12.706,,,,
12.709,,,,
12.712,,,,
12.715,,,,
12.718,,,,
12.721,,,,
12.724,,,,
12.727,0.300,0.161,0.112,1.552
12.730,,,,
12.733,,,,
12.736,,,,
12.739,,,,
12.742,,,,
12.745,,,,
12.748,,,,
12.752,,,,
12.755,,,,
12.758,,,,
12.761,,,,
12.764,,,,
12.767,,,,
12.770,,,,
12.773,0.298,0.169,9.150E-2,0.829
12.776,,,,
12.779,,,,
12.782,,,,
12.785,,,,
12.788,,,,
12.791,,,,
12.794,,,,
12.797,,,,
12.800,,,,
12.803,,,,
12.806,,,,
12.809,,,,
12.812,,,,
12.815,,,,
12.818,0.298,0.169,0.000,2.069
12.821,,,,
12.824,,,,
12.827,,,,
12.830,,,,
12.833,,,,
12.836,,,,
12.839,,,,
12.842,,,,
12.845,,,,
12.848,,,,
12.852,,,,
12.855,,,,
12.858,,,,
12.861,,,,
12.864,0.298,0.169,7.819E-2,1.099
12.867,,,,
12.870,,,,
12.873,,,,
12.876,,,,
12.879,,,,
12.882,,,,
12.885,,,,
12.888,,,,
12.891,,,,
12.894,,,,
12.897,,,,
12.900,,,,
12.903,,,,
12.906,,,,
12.909,0.296,0.162,0.126,0.220
12.912,,,,
12.915,,,,
12.918,,,,
12.921,,,,
12.924,,,,
12.927,,,,
12.930,,,,
12.933,,,,
12.936,,,,
12.939,,,,
12.942,,,,
12.945,,,,
12.948,,,,
12.952,,,,
12.955,0.293,0.159,4.945E-2,1.080
12.958,,,,
12.961,,,,
12.964,,,,
12.967,,,,
12.970,,,,
12.973,,,,
12.976,,,,
12.979,,,,
12.982,,,,
12.985,,,,
12.988,,,,
12.991,,,,
12.994,,,,
12.997,,,,
13.000,0.293,0.159,2.169E-2,0.549
13.003,,,,
13.006,,,,
13.009,,,,
13.012,,,,
13.015,,,,
13.018,,,,
13.021,,,,
13.024,,,,
13.027,,,,
13.030,,,,
13.033,,,,
13.036,,,,
13.039,,,,
13.042,,,,
13.045,0.294,0.157,2.169E-2,0.136
13.048,,,,
13.052,,,,
13.055,,,,
13.058,,,,
13.061,,,,
13.064,,,,
13.067,,,,
13.070,,,,
13.073,,,,
13.076,,,,
13.079,,,,
13.082,,,,
13.085,,,,
13.088,,,,
13.091,0.294,0.157,0.000,0.273
13.094,,,,
13.097,,,,
13.100,,,,
13.103,,,,
13.106,,,,
13.109,,,,
13.112,,,,
13.115,,,,
13.118,,,,
13.121,,,,
13.124,,,,
13.127,,,,
13.130,,,,
13.133,,,,
13.136,0.294,0.157,0.000,1.103
13.139,,,,
13.142,,,,
13.145,,,,
13.148,,,,
13.152,,,,
