t,x,y,v,a
6.152,0.182,9.851E-2,,
6.155,,,,
6.158,,,,
6.161,,,,
6.164,,,,
6.167,0.189,9.595E-2,0.455,
6.170,,,,
6.173,,,,
6.176,,,,
6.179,,,,
6.182,0.194,9.339E-2,0.239,13.13
6.185,,,,
6.188,,,,
6.191,,,,
6.194,,,,
6.197,0.194,9.083E-2,8.443E-2,1.592
6.200,,,,
6.203,,,,
6.206,,,,
6.209,,,,
6.212,0.194,9.083E-2,0.189,3.560
6.215,,,,
6.218,,,,
6.221,,,,
6.224,,,,
6.227,0.200,8.827E-2,0.189,3.560
6.230,,,,
6.233,,,,
6.236,,,,
6.239,,,,
6.242,0.200,8.827E-2,0.000,7.121
6.245,,,,
6.248,,,,
6.252,,,,
6.255,,,,
6.258,0.200,8.827E-2,0.000,7.121
6.261,,,,
6.264,,,,
6.267,,,,
6.270,,,,
6.273,0.200,8.827E-2,0.189,24.72
6.276,,,,
6.279,,,,
6.282,,,,
6.285,,,,
6.288,0.197,8.315E-2,0.643,8.119
6.291,,,,
6.294,,,,
6.297,,,,
6.300,,,,
6.303,0.217,8.060E-2,0.119,42.07
6.306,,,,
6.309,,,,
6.312,,,,
6.315,,,,
6.318,0.200,8.060E-2,1.068,9.553
6.321,,,,
6.324,,,,
6.327,,,,
6.330,,,,
6.333,0.187,9.083E-2,0.119,43.49
6.336,,,,
6.339,,,,
6.342,,,,
6.345,,,,
6.348,0.197,8.315E-2,0.597,15.76
6.352,,,,
6.355,,,,
6.358,,,,
6.361,,,,
6.364,0.200,7.804E-2,0.189,16.00
6.367,,,,
6.370,,,,
6.373,,,,
6.376,,,,
6.379,0.200,7.804E-2,0.348,8.574
6.382,,,,
6.385,,,,
6.388,,,,
6.391,,,,
6.394,0.210,8.060E-2,0.348,22.12
6.397,,,,
6.400,,,,
6.403,,,,
6.406,,,,
6.409,0.210,8.060E-2,0.422,39.03
6.412,,,,
6.415,,,,
6.418,,,,
6.421,,,,
6.424,0.200,7.292E-2,0.882,10.20
6.427,,,,
6.430,,,,
6.433,,,,
6.436,,,,
6.439,0.184,7.292E-2,0.422,30.42
6.442,,,,
6.445,,,,
6.448,,,,
6.452,,,,
6.455,0.192,6.269E-2,0.478,32.79
6.458,,,,
6.461,,,,
6.464,,,,
6.467,,,,
6.470,0.194,6.269E-2,0.597,11.26
6.473,,,,
6.476,,,,
6.479,,,,
6.482,,,,
6.485,0.194,8.060E-2,0.267,16.39
6.488,,,,
6.491,,,,
6.494,,,,
6.497,,,,
6.500,0.197,5.501E-2,0.609,3.184
6.503,,,,
6.506,,,,
6.509,,,,
6.512,,,,
6.515,0.205,6.524E-2,0.422,20.70
6.518,,,,
6.521,,,,
6.524,,,,
6.527,,,,
6.530,0.205,6.524E-2,0.169,20.39
6.533,,,,
6.536,,,,
6.539,,,,
6.542,,,,
6.545,0.205,6.013E-2,0.189,24.09
6.548,,,,
6.552,,,,
6.555,,,,
6.558,,,,
6.561,0.202,6.013E-2,0.615,17.80
6.564,,,,
6.567,,,,
6.570,,,,
6.573,,,,
6.576,0.223,5.501E-2,0.239,21.36
6.579,,,,
6.582,,,,
6.585,,,,
6.588,,,,
6.591,0.197,5.501E-2,0.755,13.13
6.594,,,,
6.597,,,,
6.600,,,,
6.603,,,,
6.606,0.202,4.478E-2,0.253,30.91
6.609,,,,
6.612,,,,
6.615,,,,
6.618,,,,
6.621,0.205,5.501E-2,0.189,39.80
6.624,,,,
6.627,,,,
6.630,,,,
6.633,,,,
6.636,0.205,3.966E-2,0.597,13.70
6.639,,,,
6.642,,,,
6.645,,,,
6.648,,,,
6.652,0.192,6.780E-2,0.541,1.592
6.655,,,,
6.658,,,,
6.661,,,,
6.664,,,,
6.667,0.192,4.989E-2,0.422,26.50
6.670,,,,
6.673,,,,
6.676,,,,
6.679,,,,
6.682,0.184,5.757E-2,0.239,12.74
6.685,,,,
6.688,,,,
6.691,,,,
6.694,,,,
6.697,0.187,5.501E-2,0.566,43.46
6.700,,,,
6.703,,,,
6.706,,,,
6.709,,,,
6.712,0.192,4.222E-2,1.098,1.592
6.715,,,,
6.718,,,,
6.721,,,,
6.724,,,,
6.727,0.200,2.431E-2,0.643,29.27
6.730,,,,
6.733,,,,
6.736,,,,
6.739,,,,
6.742,0.200,2.431E-2,0.000,31.84
6.745,,,,
6.748,,,,
6.752,,,,
6.755,,,,
6.758,0.200,2.431E-2,0.431,9.284
6.761,,,,
6.764,,,,
6.767,,,,
6.770,,,,
6.773,0.187,2.175E-2,0.455,17.22
6.776,,,,
6.779,,,,
6.782,,,,
6.785,,,,
6.788,0.187,1.919E-2,0.378,19.11
6.791,,,,
6.794,,,,
6.797,,,,
6.800,,,,
6.803,0.192,1.151E-2,0.304,7.961
6.806,,,,
6.809,,,,
6.812,,,,
6.815,,,,
6.818,0.192,1.151E-2,8.443E-2,18.64
6.821,,,,
6.824,,,,
6.827,,,,
6.830,,,,
6.833,0.194,1.151E-2,0.797,15.02
6.836,,,,
6.839,,,,
6.842,,,,
6.845,,,,
6.848,0.212,-1.279E-3,0.797,47.90
6.852,,,,
6.855,,,,
6.858,,,,
6.861,,,,
6.864,0.215,-1.279E-3,0.801,35.24
6.867,,,,
6.870,,,,
6.873,,,,
6.876,,,,
6.879,0.189,6.397E-3,0.675,29.36
6.882,,,,
6.885,,,,
6.888,,,,
6.891,,,,
6.894,0.194,-1.279E-3,0.534,42.84
6.897,,,,
6.900,,,,
6.903,,,,
6.906,,,,
6.909,0.205,1.279E-3,0.643,15.10
6.912,,,,
6.915,,,,
6.918,,,,
6.921,,,,
6.924,0.202,-1.919E-2,0.681,11.59
6.927,,,,
6.930,,,,
6.933,,,,
6.936,,,,
6.939,0.202,-1.919E-2,0.169,10.07
6.942,,,,
6.945,,,,
6.948,,,,
6.952,,,,
6.955,0.202,-2.431E-2,0.507,3.184
6.958,,,,
6.961,,,,
6.964,,,,
6.967,,,,
6.970,0.202,-3.454E-2,0.338,3.184
6.973,,,,
6.976,,,,
6.979,,,,
6.982,,,,
6.985,0.202,-3.454E-2,0.348,19.44
6.988,,,,
6.991,,,,
6.994,,,,
6.997,,,,
7.000,0.200,-4.478E-2,0.267,9.284
7.003,,,,
7.006,,,,
7.009,,,,
7.012,,,,
7.015,0.210,-3.710E-2,0.348,16.62
7.018,,,,
7.021,,,,
7.024,,,,
7.027,,,,
7.030,0.210,-4.222E-2,0.541,37.03
7.033,,,,
7.036,,,,
7.039,,,,
7.042,,,,
7.045,0.200,-4.989E-2,0.882,34.92
7.048,,,,
7.052,,,,
7.055,,,,
7.058,,,,
7.061,0.202,-6.780E-2,0.514,35.78
7.064,,,,
7.067,,,,
7.070,,,,
7.073,,,,
7.076,0.215,-4.733E-2,0.726,19.24
7.079,,,,
7.082,,,,
7.085,,,,
7.088,,,,
7.091,0.215,-4.989E-2,0.189,37.17
7.094,,,,
7.097,,,,
7.100,,,,
7.103,,,,
7.106,0.210,-4.989E-2,0.348,1.592
7.109,,,,
7.112,,,,
7.115,,,,
7.118,,,,
7.121,0.205,-5.245E-2,0.239,33.25
7.124,,,,
7.127,,,,
7.130,,,,
7.133,,,,
7.136,0.205,-5.501E-2,1.058,23.88
7.139,,,,
7.142,,,,
7.145,,,,
7.148,,,,
