t,x,y,v,a
7.848,5.921E-3,5.693E-5,,
7.852,,,,
7.855,,,,
7.858,,,,
7.861,,,,
7.864,6.604E-3,-2.847E-4,1.549E-2,
7.867,,,,
7.870,,,,
7.873,,,,
7.876,,,,
7.879,6.035E-3,-3.985E-4,1.355E-2,0.292
7.882,,,,
7.885,,,,
7.888,,,,
7.891,,,,
7.894,6.376E-3,-6.262E-4,2.191E-2,0.642
7.897,,,,
7.900,,,,
7.903,,,,
7.906,,,,
7.909,6.376E-3,-9.678E-4,1.549E-2,0.964
7.912,,,,
7.915,,,,
7.918,,,,
7.921,,,,
7.924,5.921E-3,-5.124E-4,1.879E-2,0.766
7.927,,,,
7.930,,,,
7.933,,,,
7.936,,,,
7.939,6.035E-3,-5.124E-4,1.355E-2,1.461
7.942,,,,
7.945,,,,
7.948,,,,
7.952,,,,
7.955,6.262E-3,-2.847E-4,1.879E-2,0.354
7.958,,,,
7.961,,,,
7.964,,,,
7.967,,,,
7.970,6.035E-3,-1.082E-3,1.549E-2,0.354
7.973,,,,
7.976,,,,
7.979,,,,
7.982,,,,
7.985,6.148E-3,-7.401E-4,1.503E-2,0.951
7.988,,,,
7.991,,,,
7.994,,,,
7.997,,,,
8.000,6.490E-3,-1.082E-3,1.188E-2,0.808
8.003,,,,
8.006,,,,
8.009,,,,
8.012,,,,
8.015,5.807E-3,-8.540E-4,1.916E-2,0.224
8.018,,,,
8.021,,,,
8.024,,,,
8.027,,,,
8.030,5.921E-3,-1.196E-3,1.355E-2,1.433
8.033,,,,
8.036,,,,
8.039,,,,
8.042,,,,
8.045,6.035E-3,-1.196E-3,1.916E-2,0.808
8.048,,,,
8.052,,,,
8.055,,,,
8.058,,,,
8.061,6.490E-3,-1.309E-3,2.023E-2,0.874
8.064,,,,
8.067,,,,
8.070,,,,
8.073,,,,
8.076,5.807E-3,-1.765E-3,2.293E-2,0.744
8.079,,,,
8.082,,,,
8.085,,,,
8.088,,,,
8.091,5.806E-3,-1.434E-3,1.790E-2,0.542
8.094,,,,
8.097,,,,
8.100,,,,
8.103,,,,
8.106,6.237E-3,-1.434E-3,4.731E-3,0.608
8.109,,,,
8.112,,,,
8.115,,,,
8.118,,,,
8.121,5.663E-3,-1.434E-3,9.462E-3,0.736
8.124,,,,
8.127,,,,
8.130,,,,
8.133,,,,
8.136,6.523E-3,-1.434E-3,3.029E-2,0.842
8.139,,,,
8.142,,,,
8.145,,,,
8.148,,,,
8.152,6.380E-3,-2.007E-3,3.412E-2,1.299
8.155,,,,
8.158,,,,
8.161,,,,
8.164,,,,
8.167,5.950E-3,-2.294E-3,1.496E-2,0.455
8.170,,,,
8.173,,,,
8.176,,,,
8.179,,,,
8.182,5.950E-3,-2.151E-3,1.892E-2,0.643
8.185,,,,
8.188,,,,
8.191,,,,
8.194,,,,
8.197,5.950E-3,-2.867E-3,2.839E-2,0.757
8.200,,,,
8.203,,,,
8.206,,,,
8.209,,,,
8.212,5.950E-3,-3.011E-3,1.496E-2,0.520
8.215,,,,
8.218,,,,
