t,x,y,a
0.000,5.383E-2,-3.284E-4,
0.020,5.360E-2,-8.036E-4,
0.040,5.363E-2,-9.543E-4,0.303
0.060,5.371E-2,-1.519E-3,0.108
0.080,5.382E-2,-2.009E-3,0.546
0.100,5.382E-2,-2.047E-3,0.438
0.120,5.382E-2,-2.084E-3,8.509E-2
0.140,5.382E-2,-1.971E-3,0.122
0.160,5.386E-2,-1.971E-3,0.350
0.180,5.386E-2,-2.122E-3,0.127
0.200,5.390E-2,-2.423E-3,0.513
0.220,5.382E-2,-2.499E-3,0.190
0.240,5.382E-2,-3.478E-3,0.122
0.260,5.378E-2,-3.591E-3,0.417
0.280,5.375E-2,-4.269E-3,1.903E-2
0.300,5.375E-2,-4.382E-3,0.390
0.320,5.371E-2,-4.759E-3,4.851E-2
0.340,5.371E-2,-4.759E-3,0.115
0.360,5.363E-2,-5.098E-3,0.177
0.380,5.378E-2,-5.249E-3,0.387
0.400,5.371E-2,-5.588E-3,0.196
0.420,5.355E-2,-5.326E-3,1.176
0.440,5.361E-2,-5.539E-3,1.035
0.460,5.366E-2,-7.270E-3,0.239
0.480,5.358E-2,-7.696E-3,0.625
0.500,5.337E-2,-8.602E-3,0.318
0.520,5.329E-2,-9.241E-3,9.699E-2
0.540,5.342E-2,-9.454E-3,0.116
0.560,5.323E-2,-1.055E-2,0.262
0.580,5.318E-2,-1.084E-2,0.143
0.600,5.313E-2,-1.110E-2,0.449
0.620,5.310E-2,-1.233E-2,0.542
0.640,5.326E-2,-1.273E-2,0.561
0.660,5.331E-2,-1.268E-2,0.781
0.680,5.331E-2,-1.491E-2,0.393
0.700,5.345E-2,-1.526E-2,0.669
0.720,5.337E-2,-1.561E-2,0.419
0.740,5.337E-2,-1.691E-2,0.848
0.760,5.318E-2,-1.729E-2,0.635
0.780,5.327E-2,-1.928E-2,0.594
0.800,5.327E-2,-2.066E-2,1.121
0.820,5.318E-2,-2.052E-2,5.085E-2
0.840,5.322E-2,-2.171E-2,0.407
0.860,5.308E-2,-2.242E-2,0.851
0.880,5.308E-2,-2.308E-2,1.807
0.900,5.332E-2,-2.545E-2,1.239
0.920,5.379E-2,-2.773E-2,1.194
0.940,5.382E-2,-3.017E-2,1.653
0.960,5.403E-2,-3.081E-2,0.800
0.980,5.398E-2,-3.172E-2,
1.000,5.408E-2,-3.291E-2,
